timestamp,factor,MSFT,AAPL,XOM,JPM,JNJ,CAT,PG,AMZN,ECL,NEE,PLD,GOOGL
2005-01-14,SPY,,,,,,,,,,,,
2005-01-14,XLK,,,,,,,,,,,,
2005-01-14,XLF,,,,,,,,,,,,
2005-01-14,XLV,,,,,,,,,,,,
2005-01-14,XLE,,,,,,,,,,,,
2005-01-14,XLI,,,,,,,,,,,,
2005-01-14,XLP,,,,,,,,,,,,
2005-01-14,XLY,,,,,,,,,,,,
2005-01-14,XLB,,,,,,,,,,,,
2005-01-14,XLU,,,,,,,,,,,,
2005-01-18,SPY,,,,,,,,,,,,
2005-01-18,XLK,,,,,,,,,,,,
2005-01-18,XLF,,,,,,,,,,,,
2005-01-18,XLV,,,,,,,,,,,,
2005-01-18,XLE,,,,,,,,,,,,
2005-01-18,XLI,,,,,,,,,,,,
2005-01-18,XLP,,,,,,,,,,,,
2005-01-18,XLY,,,,,,,,,,,,
2005-01-18,XLB,,,,,,,,,,,,
2005-01-18,XLU,,,,,,,,,,,,
2005-01-19,SPY,,,,,,,,,,,,
2005-01-19,XLK,,,,,,,,,,,,
2005-01-19,XLF,,,,,,,,,,,,
2005-01-19,XLV,,,,,,,,,,,,
2005-01-19,XLE,,,,,,,,,,,,
2005-01-19,XLI,,,,,,,,,,,,
2005-01-19,XLP,,,,,,,,,,,,
2005-01-19,XLY,,,,,,,,,,,,
2005-01-19,XLB,,,,,,,,,,,,
2005-01-19,XLU,,,,,,,,,,,,
2005-01-20,SPY,,,,,,,,,,,,
2005-01-20,XLK,,,,,,,,,,,,
2005-01-20,XLF,,,,,,,,,,,,
2005-01-20,XLV,,,,,,,,,,,,
2005-01-20,XLE,,,,,,,,,,,,
2005-01-20,XLI,,,,,,,,,,,,
2005-01-20,XLP,,,,,,,,,,,,
2005-01-20,XLY,,,,,,,,,,,,
2005-01-20,XLB,,,,,,,,,,,,
2005-01-20,XLU,,,,,,,,,,,,
2005-01-21,SPY,,,,,,,,,,,,
2005-01-21,XLK,,,,,,,,,,,,
2005-01-21,XLF,,,,,,,,,,,,
2005-01-21,XLV,,,,,,,,,,,,
2005-01-21,XLE,,,,,,,,,,,,
2005-01-21,XLI,,,,,,,,,,,,
2005-01-21,XLP,,,,,,,,,,,,
2005-01-21,XLY,,,,,,,,,,,,
2005-01-21,XLB,,,,,,,,,,,,
2005-01-21,XLU,,,,,,,,,,,,
2005-01-24,SPY,,,,,,,,,,,,
2005-01-24,XLK,,,,,,,,,,,,
2005-01-24,XLF,,,,,,,,,,,,
2005-01-24,XLV,,,,,,,,,,,,
2005-01-24,XLE,,,,,,,,,,,,
2005-01-24,XLI,,,,,,,,,,,,
2005-01-24,XLP,,,,,,,,,,,,
2005-01-24,XLY,,,,,,,,,,,,
2005-01-24,XLB,,,,,,,,,,,,
2005-01-24,XLU,,,,,,,,,,,,
2005-01-25,SPY,,,,,,,,,,,,
2005-01-25,XLK,,,,,,,,,,,,
2005-01-25,XLF,,,,,,,,,,,,
2005-01-25,XLV,,,,,,,,,,,,
2005-01-25,XLE,,,,,,,,,,,,
2005-01-25,XLI,,,,,,,,,,,,
2005-01-25,XLP,,,,,,,,,,,,
2005-01-25,XLY,,,,,,,,,,,,
2005-01-25,XLB,,,,,,,,,,,,
2005-01-25,XLU,,,,,,,,,,,,
2005-01-26,SPY,,,,,,,,,,,,
2005-01-26,XLK,,,,,,,,,,,,
2005-01-26,XLF,,,,,,,,,,,,
2005-01-26,XLV,,,,,,,,,,,,
2005-01-26,XLE,,,,,,,,,,,,
2005-01-26,XLI,,,,,,,,,,,,
2005-01-26,XLP,,,,,,,,,,,,
2005-01-26,XLY,,,,,,,,,,,,
2005-01-26,XLB,,,,,,,,,,,,
2005-01-26,XLU,,,,,,,,,,,,
2005-01-27,SPY,,,,,,,,,,,,
2005-01-27,XLK,,,,,,,,,,,,
2005-01-27,XLF,,,,,,,,,,,,
2005-01-27,XLV,,,,,,,,,,,,
2005-01-27,XLE,,,,,,,,,,,,
2005-01-27,XLI,,,,,,,,,,,,
2005-01-27,XLP,,,,,,,,,,,,
2005-01-27,XLY,,,,,,,,,,,,
2005-01-27,XLB,,,,,,,,,,,,
2005-01-27,XLU,,,,,,,,,,,,
2005-01-28,SPY,,,,,,,,,,,,
2005-01-28,XLK,,,,,,,,,,,,
2005-01-28,XLF,,,,,,,,,,,,
2005-01-28,XLV,,,,,,,,,,,,
2005-01-28,XLE,,,,,,,,,,,,
2005-01-28,XLI,,,,,,,,,,,,
2005-01-28,XLP,,,,,,,,,,,,
2005-01-28,XLY,,,,,,,,,,,,
2005-01-28,XLB,,,,,,,,,,,,
2005-01-28,XLU,,,,,,,,,,,,
2005-01-31,SPY,,,,,,,,,,,,
2005-01-31,XLK,,,,,,,,,,,,
2005-01-31,XLF,,,,,,,,,,,,
2005-01-31,XLV,,,,,,,,,,,,
2005-01-31,XLE,,,,,,,,,,,,
2005-01-31,XLI,,,,,,,,,,,,
2005-01-31,XLP,,,,,,,,,,,,
2005-01-31,XLY,,,,,,,,,,,,
2005-01-31,XLB,,,,,,,,,,,,
2005-01-31,XLU,,,,,,,,,,,,
2005-02-01,SPY,,,,,,,,,,,,
2005-02-01,XLK,,,,,,,,,,,,
2005-02-01,XLF,,,,,,,,,,,,
2005-02-01,XLV,,,,,,,,,,,,
2005-02-01,XLE,,,,,,,,,,,,
2005-02-01,XLI,,,,,,,,,,,,
2005-02-01,XLP,,,,,,,,,,,,
2005-02-01,XLY,,,,,,,,,,,,
2005-02-01,XLB,,,,,,,,,,,,
2005-02-01,XLU,,,,,,,,,,,,
2005-02-02,SPY,,,,,,,,,,,,
2005-02-02,XLK,,,,,,,,,,,,
2005-02-02,XLF,,,,,,,,,,,,
2005-02-02,XLV,,,,,,,,,,,,
2005-02-02,XLE,,,,,,,,,,,,
2005-02-02,XLI,,,,,,,,,,,,
2005-02-02,XLP,,,,,,,,,,,,
2005-02-02,XLY,,,,,,,,,,,,
2005-02-02,XLB,,,,,,,,,,,,
2005-02-02,XLU,,,,,,,,,,,,
2005-02-03,SPY,,,,,,,,,,,,
2005-02-03,XLK,,,,,,,,,,,,
2005-02-03,XLF,,,,,,,,,,,,
2005-02-03,XLV,,,,,,,,,,,,
2005-02-03,XLE,,,,,,,,,,,,
2005-02-03,XLI,,,,,,,,,,,,
2005-02-03,XLP,,,,,,,,,,,,
2005-02-03,XLY,,,,,,,,,,,,
2005-02-03,XLB,,,,,,,,,,,,
2005-02-03,XLU,,,,,,,,,,,,
2005-02-04,SPY,,,,,,,,,,,,
2005-02-04,XLK,,,,,,,,,,,,
2005-02-04,XLF,,,,,,,,,,,,
2005-02-04,XLV,,,,,,,,,,,,
2005-02-04,XLE,,,,,,,,,,,,
2005-02-04,XLI,,,,,,,,,,,,
2005-02-04,XLP,,,,,,,,,,,,
2005-02-04,XLY,,,,,,,,,,,,
2005-02-04,XLB,,,,,,,,,,,,
2005-02-04,XLU,,,,,,,,,,,,
2005-02-07,SPY,,,,,,,,,,,,
2005-02-07,XLK,,,,,,,,,,,,
2005-02-07,XLF,,,,,,,,,,,,
2005-02-07,XLV,,,,,,,,,,,,
2005-02-07,XLE,,,,,,,,,,,,
2005-02-07,XLI,,,,,,,,,,,,
2005-02-07,XLP,,,,,,,,,,,,
2005-02-07,XLY,,,,,,,,,,,,
2005-02-07,XLB,,,,,,,,,,,,
2005-02-07,XLU,,,,,,,,,,,,
2005-02-08,SPY,,,,,,,,,,,,
2005-02-08,XLK,,,,,,,,,,,,
2005-02-08,XLF,,,,,,,,,,,,
2005-02-08,XLV,,,,,,,,,,,,
2005-02-08,XLE,,,,,,,,,,,,
2005-02-08,XLI,,,,,,,,,,,,
2005-02-08,XLP,,,,,,,,,,,,
2005-02-08,XLY,,,,,,,,,,,,
2005-02-08,XLB,,,,,,,,,,,,
2005-02-08,XLU,,,,,,,,,,,,
2005-02-09,SPY,,,,,,,,,,,,
2005-02-09,XLK,,,,,,,,,,,,
2005-02-09,XLF,,,,,,,,,,,,
2005-02-09,XLV,,,,,,,,,,,,
2005-02-09,XLE,,,,,,,,,,,,
2005-02-09,XLI,,,,,,,,,,,,
2005-02-09,XLP,,,,,,,,,,,,
2005-02-09,XLY,,,,,,,,,,,,
2005-02-09,XLB,,,,,,,,,,,,
2005-02-09,XLU,,,,,,,,,,,,
2005-02-10,SPY,,,,,,,,,,,,
2005-02-10,XLK,,,,,,,,,,,,
2005-02-10,XLF,,,,,,,,,,,,
2005-02-10,XLV,,,,,,,,,,,,
2005-02-10,XLE,,,,,,,,,,,,
2005-02-10,XLI,,,,,,,,,,,,
2005-02-10,XLP,,,,,,,,,,,,
2005-02-10,XLY,,,,,,,,,,,,
2005-02-10,XLB,,,,,,,,,,,,
2005-02-10,XLU,,,,,,,,,,,,
2005-02-11,SPY,,,,,,,,,,,,
2005-02-11,XLK,,,,,,,,,,,,
2005-02-11,XLF,,,,,,,,,,,,
2005-02-11,XLV,,,,,,,,,,,,
2005-02-11,XLE,,,,,,,,,,,,
2005-02-11,XLI,,,,,,,,,,,,
2005-02-11,XLP,,,,,,,,,,,,
2005-02-11,XLY,,,,,,,,,,,,
2005-02-11,XLB,,,,,,,,,,,,
2005-02-11,XLU,,,,,,,,,,,,
2005-02-14,SPY,,,,,,,,,,,,
2005-02-14,XLK,,,,,,,,,,,,
2005-02-14,XLF,,,,,,,,,,,,
2005-02-14,XLV,,,,,,,,,,,,
2005-02-14,XLE,,,,,,,,,,,,
2005-02-14,XLI,,,,,,,,,,,,
2005-02-14,XLP,,,,,,,,,,,,
2005-02-14,XLY,,,,,,,,,,,,
2005-02-14,XLB,,,,,,,,,,,,
2005-02-14,XLU,,,,,,,,,,,,
2005-02-15,SPY,,,,,,,,,,,,
2005-02-15,XLK,,,,,,,,,,,,
2005-02-15,XLF,,,,,,,,,,,,
2005-02-15,XLV,,,,,,,,,,,,
2005-02-15,XLE,,,,,,,,,,,,
2005-02-15,XLI,,,,,,,,,,,,
2005-02-15,XLP,,,,,,,,,,,,
2005-02-15,XLY,,,,,,,,,,,,
2005-02-15,XLB,,,,,,,,,,,,
2005-02-15,XLU,,,,,,,,,,,,
2005-02-16,SPY,,,,,,,,,,,,
2005-02-16,XLK,,,,,,,,,,,,
2005-02-16,XLF,,,,,,,,,,,,
2005-02-16,XLV,,,,,,,,,,,,
2005-02-16,XLE,,,,,,,,,,,,
2005-02-16,XLI,,,,,,,,,,,,
2005-02-16,XLP,,,,,,,,,,,,
2005-02-16,XLY,,,,,,,,,,,,
2005-02-16,XLB,,,,,,,,,,,,
2005-02-16,XLU,,,,,,,,,,,,
2005-02-17,SPY,,,,,,,,,,,,
2005-02-17,XLK,,,,,,,,,,,,
2005-02-17,XLF,,,,,,,,,,,,
2005-02-17,XLV,,,,,,,,,,,,
2005-02-17,XLE,,,,,,,,,,,,
2005-02-17,XLI,,,,,,,,,,,,
2005-02-17,XLP,,,,,,,,,,,,
2005-02-17,XLY,,,,,,,,,,,,
2005-02-17,XLB,,,,,,,,,,,,
2005-02-17,XLU,,,,,,,,,,,,
2005-02-18,SPY,,,,,,,,,,,,
2005-02-18,XLK,,,,,,,,,,,,
2005-02-18,XLF,,,,,,,,,,,,
2005-02-18,XLV,,,,,,,,,,,,
2005-02-18,XLE,,,,,,,,,,,,
2005-02-18,XLI,,,,,,,,,,,,
2005-02-18,XLP,,,,,,,,,,,,
2005-02-18,XLY,,,,,,,,,,,,
2005-02-18,XLB,,,,,,,,,,,,
2005-02-18,XLU,,,,,,,,,,,,
2005-02-22,SPY,,,,,,,,,,,,
2005-02-22,XLK,,,,,,,,,,,,
2005-02-22,XLF,,,,,,,,,,,,
2005-02-22,XLV,,,,,,,,,,,,
2005-02-22,XLE,,,,,,,,,,,,
2005-02-22,XLI,,,,,,,,,,,,
2005-02-22,XLP,,,,,,,,,,,,
2005-02-22,XLY,,,,,,,,,,,,
2005-02-22,XLB,,,,,,,,,,,,
2005-02-22,XLU,,,,,,,,,,,,
2005-02-23,SPY,,,,,,,,,,,,
2005-02-23,XLK,,,,,,,,,,,,
2005-02-23,XLF,,,,,,,,,,,,
2005-02-23,XLV,,,,,,,,,,,,
2005-02-23,XLE,,,,,,,,,,,,
2005-02-23,XLI,,,,,,,,,,,,
2005-02-23,XLP,,,,,,,,,,,,
2005-02-23,XLY,,,,,,,,,,,,
2005-02-23,XLB,,,,,,,,,,,,
2005-02-23,XLU,,,,,,,,,,,,
2005-02-24,SPY,,,,,,,,,,,,
2005-02-24,XLK,,,,,,,,,,,,
2005-02-24,XLF,,,,,,,,,,,,
2005-02-24,XLV,,,,,,,,,,,,
2005-02-24,XLE,,,,,,,,,,,,
2005-02-24,XLI,,,,,,,,,,,,
2005-02-24,XLP,,,,,,,,,,,,
2005-02-24,XLY,,,,,,,,,,,,
2005-02-24,XLB,,,,,,,,,,,,
2005-02-24,XLU,,,,,,,,,,,,
2005-02-25,SPY,,,,,,,,,,,,
2005-02-25,XLK,,,,,,,,,,,,
2005-02-25,XLF,,,,,,,,,,,,
2005-02-25,XLV,,,,,,,,,,,,
2005-02-25,XLE,,,,,,,,,,,,
2005-02-25,XLI,,,,,,,,,,,,
2005-02-25,XLP,,,,,,,,,,,,
2005-02-25,XLY,,,,,,,,,,,,
2005-02-25,XLB,,,,,,,,,,,,
2005-02-25,XLU,,,,,,,,,,,,
2005-02-28,SPY,,,,,,,,,,,,
2005-02-28,XLK,,,,,,,,,,,,
2005-02-28,XLF,,,,,,,,,,,,
2005-02-28,XLV,,,,,,,,,,,,
2005-02-28,XLE,,,,,,,,,,,,
2005-02-28,XLI,,,,,,,,,,,,
2005-02-28,XLP,,,,,,,,,,,,
2005-02-28,XLY,,,,,,,,,,,,
2005-02-28,XLB,,,,,,,,,,,,
2005-02-28,XLU,,,,,,,,,,,,
2005-03-01,SPY,,,,,,,,,,,,
2005-03-01,XLK,,,,,,,,,,,,
2005-03-01,XLF,,,,,,,,,,,,
2005-03-01,XLV,,,,,,,,,,,,
2005-03-01,XLE,,,,,,,,,,,,
2005-03-01,XLI,,,,,,,,,,,,
2005-03-01,XLP,,,,,,,,,,,,
2005-03-01,XLY,,,,,,,,,,,,
2005-03-01,XLB,,,,,,,,,,,,
2005-03-01,XLU,,,,,,,,,,,,
2005-03-02,SPY,,,,,,,,,,,,
2005-03-02,XLK,,,,,,,,,,,,
2005-03-02,XLF,,,,,,,,,,,,
2005-03-02,XLV,,,,,,,,,,,,
2005-03-02,XLE,,,,,,,,,,,,
2005-03-02,XLI,,,,,,,,,,,,
2005-03-02,XLP,,,,,,,,,,,,
2005-03-02,XLY,,,,,,,,,,,,
2005-03-02,XLB,,,,,,,,,,,,
2005-03-02,XLU,,,,,,,,,,,,
2005-03-03,SPY,,,,,,,,,,,,
2005-03-03,XLK,,,,,,,,,,,,
2005-03-03,XLF,,,,,,,,,,,,
2005-03-03,XLV,,,,,,,,,,,,
2005-03-03,XLE,,,,,,,,,,,,
2005-03-03,XLI,,,,,,,,,,,,
2005-03-03,XLP,,,,,,,,,,,,
2005-03-03,XLY,,,,,,,,,,,,
2005-03-03,XLB,,,,,,,,,,,,
2005-03-03,XLU,,,,,,,,,,,,
2005-03-04,SPY,,,,,,,,,,,,
2005-03-04,XLK,,,,,,,,,,,,
2005-03-04,XLF,,,,,,,,,,,,
2005-03-04,XLV,,,,,,,,,,,,
2005-03-04,XLE,,,,,,,,,,,,
2005-03-04,XLI,,,,,,,,,,,,
2005-03-04,XLP,,,,,,,,,,,,
2005-03-04,XLY,,,,,,,,,,,,
2005-03-04,XLB,,,,,,,,,,,,
2005-03-04,XLU,,,,,,,,,,,,
2005-03-07,SPY,,,,,,,,,,,,
2005-03-07,XLK,,,,,,,,,,,,
2005-03-07,XLF,,,,,,,,,,,,
2005-03-07,XLV,,,,,,,,,,,,
2005-03-07,XLE,,,,,,,,,,,,
2005-03-07,XLI,,,,,,,,,,,,
2005-03-07,XLP,,,,,,,,,,,,
2005-03-07,XLY,,,,,,,,,,,,
2005-03-07,XLB,,,,,,,,,,,,
2005-03-07,XLU,,,,,,,,,,,,
2005-03-08,SPY,,,,,,,,,,,,
2005-03-08,XLK,,,,,,,,,,,,
2005-03-08,XLF,,,,,,,,,,,,
2005-03-08,XLV,,,,,,,,,,,,
2005-03-08,XLE,,,,,,,,,,,,
2005-03-08,XLI,,,,,,,,,,,,
2005-03-08,XLP,,,,,,,,,,,,
2005-03-08,XLY,,,,,,,,,,,,
2005-03-08,XLB,,,,,,,,,,,,
2005-03-08,XLU,,,,,,,,,,,,
2005-03-09,SPY,,,,,,,,,,,,
2005-03-09,XLK,,,,,,,,,,,,
2005-03-09,XLF,,,,,,,,,,,,
2005-03-09,XLV,,,,,,,,,,,,
2005-03-09,XLE,,,,,,,,,,,,
2005-03-09,XLI,,,,,,,,,,,,
2005-03-09,XLP,,,,,,,,,,,,
2005-03-09,XLY,,,,,,,,,,,,
2005-03-09,XLB,,,,,,,,,,,,
2005-03-09,XLU,,,,,,,,,,,,
2005-03-10,SPY,,,,,,,,,,,,
2005-03-10,XLK,,,,,,,,,,,,
2005-03-10,XLF,,,,,,,,,,,,
2005-03-10,XLV,,,,,,,,,,,,
2005-03-10,XLE,,,,,,,,,,,,
2005-03-10,XLI,,,,,,,,,,,,
2005-03-10,XLP,,,,,,,,,,,,
2005-03-10,XLY,,,,,,,,,,,,
2005-03-10,XLB,,,,,,,,,,,,
2005-03-10,XLU,,,,,,,,,,,,
2005-03-11,SPY,,,,,,,,,,,,
2005-03-11,XLK,,,,,,,,,,,,
2005-03-11,XLF,,,,,,,,,,,,
2005-03-11,XLV,,,,,,,,,,,,
2005-03-11,XLE,,,,,,,,,,,,
2005-03-11,XLI,,,,,,,,,,,,
2005-03-11,XLP,,,,,,,,,,,,
2005-03-11,XLY,,,,,,,,,,,,
2005-03-11,XLB,,,,,,,,,,,,
2005-03-11,XLU,,,,,,,,,,,,
2005-03-14,SPY,,,,,,,,,,,,
2005-03-14,XLK,,,,,,,,,,,,
2005-03-14,XLF,,,,,,,,,,,,
2005-03-14,XLV,,,,,,,,,,,,
2005-03-14,XLE,,,,,,,,,,,,
2005-03-14,XLI,,,,,,,,,,,,
2005-03-14,XLP,,,,,,,,,,,,
2005-03-14,XLY,,,,,,,,,,,,
2005-03-14,XLB,,,,,,,,,,,,
2005-03-14,XLU,,,,,,,,,,,,
2005-03-15,SPY,,,,,,,,,,,,
2005-03-15,XLK,,,,,,,,,,,,
2005-03-15,XLF,,,,,,,,,,,,
2005-03-15,XLV,,,,,,,,,,,,
2005-03-15,XLE,,,,,,,,,,,,
2005-03-15,XLI,,,,,,,,,,,,
2005-03-15,XLP,,,,,,,,,,,,
2005-03-15,XLY,,,,,,,,,,,,
2005-03-15,XLB,,,,,,,,,,,,
2005-03-15,XLU,,,,,,,,,,,,
2005-03-16,SPY,,,,,,,,,,,,
2005-03-16,XLK,,,,,,,,,,,,
2005-03-16,XLF,,,,,,,,,,,,
2005-03-16,XLV,,,,,,,,,,,,
2005-03-16,XLE,,,,,,,,,,,,
2005-03-16,XLI,,,,,,,,,,,,
2005-03-16,XLP,,,,,,,,,,,,
2005-03-16,XLY,,,,,,,,,,,,
2005-03-16,XLB,,,,,,,,,,,,
2005-03-16,XLU,,,,,,,,,,,,
2005-03-17,SPY,,,,,,,,,,,,
2005-03-17,XLK,,,,,,,,,,,,
2005-03-17,XLF,,,,,,,,,,,,
2005-03-17,XLV,,,,,,,,,,,,
2005-03-17,XLE,,,,,,,,,,,,
2005-03-17,XLI,,,,,,,,,,,,
2005-03-17,XLP,,,,,,,,,,,,
2005-03-17,XLY,,,,,,,,,,,,
2005-03-17,XLB,,,,,,,,,,,,
2005-03-17,XLU,,,,,,,,,,,,
2005-03-18,SPY,,,,,,,,,,,,
2005-03-18,XLK,,,,,,,,,,,,
2005-03-18,XLF,,,,,,,,,,,,
2005-03-18,XLV,,,,,,,,,,,,
2005-03-18,XLE,,,,,,,,,,,,
2005-03-18,XLI,,,,,,,,,,,,
2005-03-18,XLP,,,,,,,,,,,,
2005-03-18,XLY,,,,,,,,,,,,
2005-03-18,XLB,,,,,,,,,,,,
2005-03-18,XLU,,,,,,,,,,,,
2005-03-21,SPY,,,,,,,,,,,,
2005-03-21,XLK,,,,,,,,,,,,
2005-03-21,XLF,,,,,,,,,,,,
2005-03-21,XLV,,,,,,,,,,,,
2005-03-21,XLE,,,,,,,,,,,,
2005-03-21,XLI,,,,,,,,,,,,
2005-03-21,XLP,,,,,,,,,,,,
2005-03-21,XLY,,,,,,,,,,,,
2005-03-21,XLB,,,,,,,,,,,,
2005-03-21,XLU,,,,,,,,,,,,
2005-03-22,SPY,,,,,,,,,,,,
2005-03-22,XLK,,,,,,,,,,,,
2005-03-22,XLF,,,,,,,,,,,,
2005-03-22,XLV,,,,,,,,,,,,
2005-03-22,XLE,,,,,,,,,,,,
2005-03-22,XLI,,,,,,,,,,,,
2005-03-22,XLP,,,,,,,,,,,,
2005-03-22,XLY,,,,,,,,,,,,
2005-03-22,XLB,,,,,,,,,,,,
2005-03-22,XLU,,,,,,,,,,,,
2005-03-23,SPY,,,,,,,,,,,,
2005-03-23,XLK,,,,,,,,,,,,
2005-03-23,XLF,,,,,,,,,,,,
2005-03-23,XLV,,,,,,,,,,,,
2005-03-23,XLE,,,,,,,,,,,,
2005-03-23,XLI,,,,,,,,,,,,
2005-03-23,XLP,,,,,,,,,,,,
2005-03-23,XLY,,,,,,,,,,,,
2005-03-23,XLB,,,,,,,,,,,,
2005-03-23,XLU,,,,,,,,,,,,
2005-03-24,SPY,,,,,,,,,,,,
2005-03-24,XLK,,,,,,,,,,,,
2005-03-24,XLF,,,,,,,,,,,,
2005-03-24,XLV,,,,,,,,,,,,
2005-03-24,XLE,,,,,,,,,,,,
2005-03-24,XLI,,,,,,,,,,,,
2005-03-24,XLP,,,,,,,,,,,,
2005-03-24,XLY,,,,,,,,,,,,
2005-03-24,XLB,,,,,,,,,,,,
2005-03-24,XLU,,,,,,,,,,,,
2005-03-28,SPY,,,,,,,,,,,,
2005-03-28,XLK,,,,,,,,,,,,
2005-03-28,XLF,,,,,,,,,,,,
2005-03-28,XLV,,,,,,,,,,,,
2005-03-28,XLE,,,,,,,,,,,,
2005-03-28,XLI,,,,,,,,,,,,
2005-03-28,XLP,,,,,,,,,,,,
2005-03-28,XLY,,,,,,,,,,,,
2005-03-28,XLB,,,,,,,,,,,,
2005-03-28,XLU,,,,,,,,,,,,
2005-03-29,SPY,,,,,,,,,,,,
2005-03-29,XLK,,,,,,,,,,,,
2005-03-29,XLF,,,,,,,,,,,,
2005-03-29,XLV,,,,,,,,,,,,
2005-03-29,XLE,,,,,,,,,,,,
2005-03-29,XLI,,,,,,,,,,,,
2005-03-29,XLP,,,,,,,,,,,,
2005-03-29,XLY,,,,,,,,,,,,
2005-03-29,XLB,,,,,,,,,,,,
2005-03-29,XLU,,,,,,,,,,,,
2005-03-30,SPY,,,,,,,,,,,,
2005-03-30,XLK,,,,,,,,,,,,
2005-03-30,XLF,,,,,,,,,,,,
2005-03-30,XLV,,,,,,,,,,,,
2005-03-30,XLE,,,,,,,,,,,,
2005-03-30,XLI,,,,,,,,,,,,
2005-03-30,XLP,,,,,,,,,,,,
2005-03-30,XLY,,,,,,,,,,,,
2005-03-30,XLB,,,,,,,,,,,,
2005-03-30,XLU,,,,,,,,,,,,
